Date,LBMP,Zone
2024-01-01 00:00:00,25.17,N.Y.C.
2024-01-01 01:00:00,23.1,N.Y.C.
2024-01-01 02:00:00,22.49,N.Y.C.
2024-01-01 03:00:00,22.04,N.Y.C.
2024-01-01 04:00:00,22.26,N.Y.C.
2024-01-01 05:00:00,23.75,N.Y.C.
2024-01-01 06:00:00,25.36,N.Y.C.
2024-01-01 07:00:00,23.95,N.Y.C.
2024-01-01 08:00:00,25.43,N.Y.C.
2024-01-01 09:00:00,25.63,N.Y.C.
2024-01-01 10:00:00,26.87,N.Y.C.
2024-01-01 11:00:00,27.02,N.Y.C.
2024-01-01 12:00:00,26.97,N.Y.C.
2024-01-01 13:00:00,26.99,N.Y.C.
2024-01-01 14:00:00,27.84,N.Y.C.
2024-01-01 15:00:00,30.4,N.Y.C.
2024-01-01 16:00:00,36.11,N.Y.C.
2024-01-01 17:00:00,43.51,N.Y.C.
2024-01-01 18:00:00,38.44,N.Y.C.
2024-01-01 19:00:00,34.82,N.Y.C.
2024-01-01 20:00:00,32.49,N.Y.C.
2024-01-01 21:00:00,30.74,N.Y.C.
2024-01-01 22:00:00,28.25,N.Y.C.
2024-01-01 23:00:00,27.28,N.Y.C.
