LocationID,Total_Piles
4,0.0
12,0.0
13,44.0
24,0.0
41,6.0
42,4.0
43,0.0
45,0.0
48,52.0
50,66.0
68,17.0
74,25.0
75,41.0
79,6.0
87,12.0
88,3.0
90,16.0
100,0.0
103,0.0
107,31.0
113,29.0
114,7.0
116,0.0
120,0.0
125,1.0
127,0.0
128,0.0
137,46.0
140,95.0
141,146.0
142,47.0
143,63.0
144,9.0
148,27.0
151,37.0
152,0.0
153,0.0
158,42.0
161,18.0
162,39.0
163,43.0
164,20.0
166,19.0
170,52.0
186,9.0
194,3.0
202,13.0
209,6.0
211,8.0
224,115.0
229,58.0
230,56.0
231,53.0
232,8.0
233,21.0
234,36.0
236,73.0
237,83.0
238,25.0
239,47.0
243,8.0
244,33.0
246,46.0
249,7.0
261,25.0
262,106.0
263,96.0
