LocationID,Estimated_EV_Count
4,818.4783291881278
12,914.7965306411122
13,2593.067005101603
24,1091.2121025329857
41,1329.8208629303156
42,1765.8715780742193
43,31.902673416721026
45,6349.961449216547
48,1811.9688665991516
50,1557.088970995783
68,3227.7636789547278
74,6650.339693539673
75,1170.8618986295085
79,2850.080391786554
87,3055.8959589469832
88,2483.4586077498057
90,2164.5451270341605
100,651.9732929169766
107,2816.2034952810277
113,2340.274009146496
114,1786.1520181630322
116,999.7675519474496
120,381.6296597932163
125,1852.031144214202
127,288.06877091682344
128,193.20053931912935
137,2060.730459980641
140,3619.0085828176534
141,3595.4123710370723
142,4081.7190142040217
143,4628.790835010843
144,2198.143699356538
148,977.6639324317114
151,2334.0627691154355
152,708.2780303708944
153,246.06778567680786
158,2349.980408493794
161,1725.4731410482887
162,1377.1386891622838
163,995.9139819196795
164,1168.4800919860818
166,2784.3079922295856
170,1849.0980703466976
186,748.2105405612192
194,9563.34392989624
202,773.0710407208259
209,2457.9899515984516
211,1721.7689799574741
224,908.9649835215475
229,2273.8668316461044
230,1080.3635342555713
231,16256.857994350343
232,2111.514305608595
233,1250.970743127946
234,2750.8069983769615
236,6364.885376152867
237,4372.734134330059
238,3440.237970782298
239,4511.650029810285
243,1020.9885972132594
244,973.7387433990057
246,2774.131069273096
249,2827.3470794964996
261,2509.813519933785
262,4227.56796985978
263,4044.81886861209
